date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:18	2151/2151	---MC-	200	added ('OK')	text/xml	date:Fri,%2017%20Nov%202023%2013:35:18%20GMT	https://my-cardlysupply.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmy-cardlysupply.com%2F&format=xml	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-json/oembed/1.0/embed9ab1	(from https://my-cardlysupply.com/)
14:35:18	1042/1042	---M--	200	added ('OK')	image/webp	date:Sun,%2026%20Feb%202023%2000:28:16%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/cropped-logo.png-32x32.webp	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/cropped-logo.png-32x32.webp	(from https://my-cardlysupply.com/)
14:35:19	6302/6302	---M--	200	added ('OK')	image/webp	date:Sun,%2026%20Feb%202023%2000:28:16%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/cropped-logo.png-192x192.webp	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/cropped-logo.png-192x192.webp	(from https://my-cardlysupply.com/)
14:35:19	6092/6092	---M--	200	added ('OK')	image/webp	date:Sun,%2026%20Feb%202023%2000:28:16%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/cropped-logo.png-180x180.webp	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/cropped-logo.png-180x180.webp	(from https://my-cardlysupply.com/)
14:35:19	4812/4812	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:01%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/btn-mobile.jpeg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/btn-mobile.jpg	(from https://my-cardlysupply.com/)
14:35:20	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%2263e2af34-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.3.0/css/all.min.css	C:/Users/User/Documents/Top%20file/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.3.0/css/all.min.css	(from https://my-cardlysupply.com/)
14:35:21	12681/12681	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:09%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Apple-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Apple-1.png	(from https://my-cardlysupply.com/)
14:35:21	62068/62068	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:08%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Joker.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Joker.png	(from https://my-cardlysupply.com/)
14:35:22	17970/17970	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:09%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/WM_Vanilla_GO_Shop.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/WM_Vanilla_GO_Shop.png	(from https://my-cardlysupply.com/)
14:35:22	11880/11880	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:09%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/stream3-2.jpeg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/stream3-2.jpg	(from https://my-cardlysupply.com/)
14:35:22	8407/8407	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Google-Play-removebg-preview-1-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Google-Play-removebg-preview-1-1.png	(from https://my-cardlysupply.com/)
14:35:22	9922/9922	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VV_Ocassion_ShowerUmbrella_20_200.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VV_Ocassion_ShowerUmbrella_20_200.png	(from https://my-cardlysupply.com/)
14:35:22	11880/11880	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/stream3-2-1.jpeg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/stream3-2-1.jpg	(from https://my-cardlysupply.com/)
14:35:23	14039/14039	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_Youthful_20_500.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_Youthful_20_500.png	(from https://my-cardlysupply.com/)
14:35:23	12943/12943	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Lotus_Bow_Purple_25.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Lotus_Bow_Purple_25.png	(from https://my-cardlysupply.com/)
14:35:23	12681/12681	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Apple-1-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Apple-1-1.png	(from https://my-cardlysupply.com/)
14:35:23	19987/19987	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/AA-stam-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/AA-stam-1.png	(from https://my-cardlysupply.com/)
14:35:23	12227/12227	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Sheer_Bow_Green_200.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Sheer_Bow_Green_200.png	(from https://my-cardlysupply.com/)
14:35:24	8407/8407	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Google-Play-removebg-preview-1-1-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Google-Play-removebg-preview-1-1-1.png	(from https://my-cardlysupply.com/)
14:35:24	9438/9438	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_HaveFun_20_500.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_HaveFun_20_500.png	(from https://my-cardlysupply.com/)
14:35:24	16518/16518	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_Love_20_500.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_Love_20_500.png	(from https://my-cardlysupply.com/)
14:35:25	25956/25956	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Stream1-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Stream1-1.png	(from https://my-cardlysupply.com/)
14:35:25	9563/9563	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/amazon.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/amazon.png	(from https://my-cardlysupply.com/)
14:35:25	25956/25956	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/Stream1-1-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/Stream1-1-1.png	(from https://my-cardlysupply.com/)
14:35:25	11126/11126	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_Sams_HappyBirthday_20_500.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_Walmart_Sams_HappyBirthday_20_500.png	(from https://my-cardlysupply.com/)
14:35:25	19987/19987	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:10%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/AA-stam-1-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/AA-stam-1-1.png	(from https://my-cardlysupply.com/)
14:35:25	9584/9584	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:11%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/amazon-1.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/amazon-1.png	(from https://my-cardlysupply.com/)
14:35:26	87119/87119	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:11%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0028.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0028.jpg	(from https://my-cardlysupply.com/)
14:35:26	42959/42959	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:12%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0029.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0029.jpg	(from https://my-cardlysupply.com/)
14:35:27	45529/45529	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:12%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0031.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0031.jpg	(from https://my-cardlysupply.com/)
14:35:28	107660/107660	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:13%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0039.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0039.jpg	(from https://my-cardlysupply.com/)
14:35:28	87290/87290	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:14%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0041.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0041.jpg	(from https://my-cardlysupply.com/)
14:35:28	68239/68239	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:15%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0032.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0032.jpg	(from https://my-cardlysupply.com/)
14:35:29	8120/8120	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:23%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/WM_YouRock_Var.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/WM_YouRock_Var.png	(from https://my-cardlysupply.com/)
14:35:29	77037/77037	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Feb%202023%2022:16:16%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0040.jpg	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/IMG-20220409-WA0040.jpg	(from https://my-cardlysupply.com/)
14:35:29	18577/18577	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:23%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/VMC_JewelBox_Royal_100.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/VMC_JewelBox_Royal_100.png	(from https://my-cardlysupply.com/)
14:35:29	24141/24141	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202023%2020:56:40%20GMT	https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-20313349.min.css	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-20313349.min.css	(from https://my-cardlysupply.com/)
14:35:30	59555/59555	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202023%2020:56:39%20GMT	https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-07451975.min.js	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-07451975.min.js	(from https://my-cardlysupply.com/)
14:35:30	328347/328347	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202023%2020:56:32%20GMT	https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-5ca979b1.min.js	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-5ca979b1.min.js	(from https://my-cardlysupply.com/)
14:35:31	80921/80921	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202023%2020:56:39%20GMT	https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-3a351649.min.js	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-3a351649.min.js	(from https://my-cardlysupply.com/)
14:35:31	214608/214608	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2014%20Nov%202023%2020:51:26%20GMT	https://my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot	(from https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css)
14:35:31	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2020:41:04%20GMT	https://my-cardlysupply.com/wp-includes/fonts/dashicons.eot	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-includes/fonts/dashicons.eot	(from https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css)
14:35:31	125654/125654	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Feb%202023%2022:16:22%20GMT	https://my-cardlysupply.com/wp-content/uploads/2023/02/PngItem_1864328-2.png	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/uploads/2023/02/PngItem_1864328-2.png	(from https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css)
14:35:32	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2014%20Nov%202023%2020:51:31%20GMT	https://my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css)
14:35:32	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2014%20Nov%202023%2020:51:31%20GMT	https://my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css)
14:35:32	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Nov%202023%2013:35:35%20GMT	https://fonts.gstatic.com/robots.txt		(from https://my-cardlysupply.com/)
14:35:33	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2014%20Nov%202023%2020:51:31%20GMT	https://my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-footer-20313349.min.css)
